idx,sign,k,p_bad
1308,-1,4.0,0.98886603
1308,1,6.0,0.99171233
1308,-1,6.0,0.98886603
325,1,0.5,0.0021564953
325,-1,0.5,0.0006799062
325,1,1.0,0.0141503215
325,-1,1.0,0.0025996177
325,1,2.0,0.11905284
325,-1,2.0,0.042741667
325,1,3.0,0.38267288
325,-1,3.0,0.54155916
325,1,4.0,0.6785761
325,-1,4.0,0.5669356
325,1,6.0,0.9600019
325,-1,6.0,0.5669356
1559,1,0.5,0.12136034
1559,-1,0.5,0.06277308
1559,1,1.0,0.44621688
1559,-1,1.0,0.2665414
1559,1,2.0,0.79417354
1559,-1,2.0,0.9546659
1559,1,3.0,0.9084697
1559,-1,3.0,0.9546659
1559,1,4.0,0.95434105
1559,-1,4.0,0.9546659
1559,1,6.0,0.98920256
1559,-1,6.0,0.9546659
1268,1,0.5,0.42324793
1268,-1,0.5,0.71683323
1268,1,1.0,0.880272
1268,-1,1.0,0.9552361
1268,1,2.0,0.9696984
1268,-1,2.0,0.9726271
1268,1,3.0,0.9893271
1268,-1,3.0,0.9726271
1268,1,4.0,0.9944834
1268,-1,4.0,0.9726271
1268,1,6.0,0.9986745
1268,-1,6.0,0.9726271
1285,1,0.5,0.022344103
1285,-1,0.5,0.07180256
1285,1,1.0,0.14970548
1285,-1,1.0,0.33426306
1285,1,2.0,0.58527344
1285,-1,2.0,0.91733086
1285,1,3.0,0.8008038
1285,-1,3.0,0.91733086
1285,1,4.0,0.89599985
1285,-1,4.0,0.91733086
1285,1,6.0,0.97788095
1285,-1,6.0,0.91733086
161,1,0.5,0.0003339628
161,-1,0.5,0.00028155633
161,1,1.0,0.0026608468
161,-1,1.0,0.0013483325
161,1,2.0,0.034562543
161,-1,2.0,0.022249635
161,1,3.0,0.13561413
161,-1,3.0,0.211305
161,1,4.0,0.30783284
161,-1,4.0,0.211305
161,1,6.0,0.81811965
161,-1,6.0,0.211305
463,1,0.5,0.0057963813
463,-1,0.5,0.0041568773
463,1,1.0,0.05157895
463,-1,1.0,0.01240272
463,1,2.0,0.4705687
463,-1,2.0,0.10809064
463,1,3.0,0.84249234
463,-1,3.0,0.7619954
463,1,4.0,0.93014556
463,-1,4.0,0.7619954
463,1,6.0,0.9858824
463,-1,6.0,0.7619954
1353,1,0.5,0.54863065
1353,-1,0.5,0.44846952
1353,1,1.0,0.8645238
1353,-1,1.0,0.9173448
1353,1,2.0,0.9594168
1353,-1,2.0,0.9871564
1353,1,3.0,0.9834299
1353,-1,3.0,0.9871564
1353,1,4.0,0.9921548
1353,-1,4.0,0.9871564
1353,1,6.0,0.99824333
1353,-1,6.0,0.9871564
60,1,0.5,0.48364958
60,-1,0.5,0.084187955
60,1,1.0,0.83182657
60,-1,1.0,0.45761737
60,1,2.0,0.9645814
60,-1,2.0,0.745674
60,1,3.0,0.9890666
60,-1,3.0,0.745674
60,1,4.0,0.99573046
60,-1,4.0,0.745674
60,1,6.0,0.99900097
60,-1,6.0,0.745674
1011,1,0.5,0.010726038
1011,-1,0.5,0.00022746132
1011,1,1.0,0.040034473
1011,-1,1.0,0.00024969887
1011,1,2.0,0.2813996
1011,-1,2.0,0.006977799
1011,1,3.0,0.7182655
1011,-1,3.0,0.19132671
1011,1,4.0,0.9059295
1011,-1,4.0,0.83487976
1011,1,6.0,0.980807
1011,-1,6.0,0.83487976
1041,1,0.5,3.3264463e-08
1041,-1,0.5,9.96073e-08
1041,1,1.0,2.3519226e-07
1041,-1,1.0,2.4800633e-07
1041,1,2.0,5.746524e-06
1041,-1,2.0,1.9631475e-06
1041,1,3.0,7.3424264e-05
1041,-1,3.0,2.4425208e-05
